iter	RMSE
0	25.01424758
1	24.10489423
2	23.25088311
3	22.43522182
4	21.67015125
5	20.95342134
6	20.27844998
7	19.64198692
8	19.04371214
9	18.48484632
10	17.96998909
11	17.48366702
12	17.02279123
13	16.59581492
14	16.1998171
15	15.83245015
16	15.48919161
17	15.16189658
18	14.8615012
19	14.5803833
20	14.32184315
21	14.08215249
22	13.86817154
23	13.66087016
24	13.47005404
25	13.29762235
26	13.1308571
27	12.97798989
28	12.84138022
29	12.7088136
30	12.59239141
31	12.47897613
32	12.372429
33	12.27772218
34	12.18956353
35	12.10538684
36	12.02794335
37	11.95642576
38	11.8909487
39	11.82783289
40	11.7731693
41	11.72069306
42	11.67036137
43	11.62118666
44	11.57869874
45	11.53844496
46	11.50000236
47	11.46457927
48	11.43280819
49	11.4023942
50	11.37512849
51	11.34911448
52	11.32445752
53	11.30129108
54	11.27972259
55	11.25740603
56	11.23907658
57	11.22198523
58	11.20613471
59	11.18960013
60	11.16969633
61	11.15361053
62	11.13853786
63	11.12532449
64	11.10900961
65	11.09189677
66	11.08161741
67	11.06946956
68	11.05706206
69	11.04602503
70	11.03686288
71	11.02351867
72	11.01231892
73	11.004162
74	10.99717105
75	10.98613234
76	10.97715733
77	10.96852409
78	10.96175463
79	10.95326951
80	10.94346333
81	10.93452771
82	10.92867493
83	10.92085209
84	10.91276355
85	10.90820431
86	10.89819547
87	10.89243542
88	10.88574478
89	10.87958082
90	10.87444614
91	10.86781283
92	10.86183717
93	10.8568159
94	10.85321552
95	10.84934643
96	10.84446398
97	10.84077833
98	10.83658262
99	10.83289625
100	10.82973837
101	10.82558396
102	10.8227831
103	10.81856947
104	10.81528091
105	10.81096208
106	10.80828857
107	10.80470197
108	10.80206871
109	10.79918053
110	10.79586688
111	10.79196721
112	10.78798666
113	10.78385063
114	10.77806619
115	10.77531182
116	10.77258145
117	10.76877508
118	10.76309056
119	10.76101105
120	10.75874641
121	10.75688872
122	10.75292274
123	10.75090046
124	10.74598249
125	10.74248537
126	10.74049229
127	10.73885246
128	10.73631206
129	10.73326423
130	10.72958767
131	10.72761841
132	10.72567934
133	10.7222362
134	10.71918342
135	10.7167889
136	10.71529051
137	10.71253857
138	10.71019307
139	10.7085129
140	10.70618887
141	10.70376318
142	10.7016961
143	10.69833725
144	10.69617688
145	10.69423499
146	10.69266406
147	10.69123359
148	10.68930432
149	10.68741126
150	10.68482039
151	10.6830879
152	10.68164154
153	10.67945523
154	10.67799919
155	10.67538625
156	10.67404493
157	10.67218029
158	10.67000053
159	10.66844284
160	10.66650483
161	10.66360641
162	10.66261994
163	10.66147774
164	10.65954605
165	10.6567474
166	10.65456368
167	10.65315451
168	10.65220133
169	10.64811479
170	10.64651207
171	10.6453351
172	10.64371584
173	10.64237108
174	10.64121494
175	10.63999602
176	10.63852057
177	10.63746543
178	10.63465195
179	10.6337251
180	10.63286213
181	10.63158339
182	10.62893745
183	10.62699856
184	10.62594969
185	10.62383206
186	10.621497
187	10.62015035
188	10.61923805
189	10.6180467
190	10.6168109
191	10.61531066
192	10.61317067
193	10.61229068
194	10.6112426
195	10.61032201
196	10.60916965
197	10.60822473
198	10.60731459
199	10.60608454
200	10.60456452
201	10.60354131
202	10.60247473
203	10.60182118
204	10.60053794
205	10.5986682
206	10.59704206
207	10.59512357
208	10.59440527
209	10.59310218
210	10.5921371
211	10.59078732
212	10.58920176
213	10.58720254
214	10.58458975
215	10.58270616
216	10.58188503
217	10.58062884
218	10.57973725
219	10.57752632
220	10.57522118
221	10.57334246
222	10.57165676
223	10.56926414
224	10.56831268
225	10.56748823
226	10.56659711
227	10.56527127
228	10.56436276
229	10.56303839
230	10.562065
231	10.56083671
232	10.55955605
233	10.55789423
234	10.55709701
235	10.55564246
236	10.55474751
237	10.55261516
238	10.55169849
239	10.55081675
240	10.54996186
241	10.54880535
242	10.5473751
243	10.54640235
244	10.54496694
245	10.54343231
246	10.542794
247	10.54209234
248	10.54116303
249	10.54020516
250	10.53940279
251	10.53846838
252	10.53638827
253	10.53569621
254	10.53500323
255	10.53327996
256	10.53227492
257	10.53136239
258	10.53004131
259	10.52929808
260	10.52798963
261	10.52702849
262	10.52605776
263	10.52540532
264	10.52421678
265	10.52331167
266	10.52250738
267	10.52191595
268	10.52122121
269	10.5196952
270	10.51827528
271	10.51761759
272	10.51705308
273	10.51651762
274	10.51582289
275	10.5135332
276	10.51237068
277	10.51118013
278	10.51043677
279	10.50955793
280	10.50801228
281	10.50616939
282	10.50501665
283	10.50342598
284	10.50194937
285	10.50092394
286	10.49902299
287	10.49709691
288	10.49526178
289	10.49452234
290	10.49235018
291	10.48985279
292	10.48906732
293	10.48780094
294	10.48637034
295	10.48559828
296	10.48425894
297	10.48309359
298	10.48218307
299	10.48019304
300	10.47879493
301	10.47790506
302	10.47658324
303	10.47570308
304	10.47377634
305	10.47301887
306	10.47203773
307	10.47039293
308	10.46924626
309	10.46860296
310	10.46744907
311	10.46651251
312	10.46470729
313	10.46384908
314	10.46314819
315	10.46219998
316	10.46094541
317	10.45937953
318	10.45857121
319	10.45800371
320	10.45640603
321	10.45580095
322	10.45452585
323	10.45400338
324	10.4532472
325	10.45225296
326	10.451505
327	10.45068745
328	10.44964238
329	10.44894939
330	10.44787911
331	10.44657304
332	10.44451412
333	10.44382919
334	10.44307732
335	10.44210148
336	10.44012731
337	10.43924309
338	10.43860646
339	10.43766636
340	10.4371444
341	10.43646271
342	10.43538768
343	10.43399506
344	10.43316451
345	10.4326155
346	10.43197145
347	10.43070759
348	10.42917829
349	10.42827471
350	10.42749556
351	10.42673254
352	10.42537548
353	10.423959
354	10.42319355
355	10.42171323
356	10.42123353
357	10.41996333
358	10.41944112
359	10.41851719
360	10.41770817
361	10.41703268
362	10.41594488
363	10.415215
364	10.41405705
365	10.41317716
366	10.41271368
367	10.41189959
368	10.41116778
369	10.41052637
370	10.40941386
371	10.40829568
372	10.40728758
373	10.40623263
374	10.40523154
375	10.40430016
376	10.40349852
377	10.40238497
378	10.40190587
379	10.40123212
380	10.40059699
381	10.39892436
382	10.39848169
383	10.39780448
384	10.39692273
385	10.39610511
386	10.39536784
387	10.39485549
388	10.3940812
389	10.39248229
390	10.39152758
391	10.39095442
392	10.39003573
393	10.38896366
394	10.38841433
395	10.38781878
396	10.38697401
397	10.38605658
398	10.38539592
399	10.38435769
400	10.38373838
401	10.3830139
402	10.38207305
403	10.38090245
404	10.38026363
405	10.37941808
406	10.37896184
407	10.37803827
408	10.37726258
409	10.37657173
410	10.37613279
411	10.37526136
412	10.37442204
413	10.37395674
414	10.37342081
415	10.37237739
416	10.37179046
417	10.37057518
418	10.36959689
419	10.36891271
420	10.36832915
421	10.3676574
422	10.36706671
423	10.36656182
424	10.36581717
425	10.36540286
426	10.36483756
427	10.36426773
428	10.36361876
429	10.36220645
430	10.36146809
431	10.36023872
432	10.35917728
433	10.35833312
434	10.35742282
435	10.35646511
436	10.35593703
437	10.35536941
438	10.35477721
439	10.35436847
440	10.35381183
441	10.353058
442	10.35243888
443	10.35168724
444	10.35103489
445	10.34999375
446	10.34935508
447	10.34884444
448	10.34792616
449	10.34750589
450	10.34670215
451	10.34609734
452	10.34540284
453	10.34461911
454	10.34374006
455	10.3424014
456	10.34169495
457	10.3412089
458	10.34082237
459	10.33967207
460	10.33864122
461	10.33777215
462	10.33694607
463	10.33631494
464	10.33536436
465	10.33482785
466	10.33411057
467	10.33369964
468	10.3331313
469	10.33256575
470	10.33179041
471	10.33127032
472	10.33076888
473	10.32991315
474	10.32945089
475	10.32883143
476	10.32829831
477	10.32777656
478	10.3268131
479	10.32616066
480	10.32573178
481	10.32501408
482	10.32451308
483	10.32400908
484	10.32337328
485	10.32240126
486	10.32203001
487	10.32134217
488	10.32056391
489	10.31936951
490	10.31876513
491	10.31835518
492	10.31754673
493	10.31696773
494	10.3164088
495	10.31591777
496	10.31540046
497	10.31473092
498	10.31387125
499	10.31323961
