iter	Passed	Remaining
402	12902	3105
403	12932	3072
404	12964	3041
405	12999	3009
406	13030	2977
407	13064	2945
408	13095	2913
409	13125	2881
410	13156	2848
411	13189	2817
412	13223	2785
413	13256	2753
414	13287	2721
415	13312	2688
416	13345	2656
417	13377	2624
418	13410	2592
419	13443	2560
420	13477	2529
421	13508	2496
422	13540	2464
423	13573	2433
424	13605	2400
425	13636	2368
426	13670	2337
427	13702	2305
428	13735	2273
429	13768	2241
430	13799	2209
431	13831	2177
432	13864	2145
433	13896	2113
434	13929	2081
435	13962	2049
436	13994	2017
437	14031	1986
438	14073	1955
439	14109	1924
440	14140	1891
441	14172	1859
442	14205	1827
443	14238	1795
444	14269	1763
445	14300	1731
446	14332	1699
447	14365	1667
448	14399	1635
449	14433	1603
450	14464	1571
451	14496	1539
452	14527	1507
453	14559	1475
454	14591	1443
455	14625	1411
456	14659	1379
457	14691	1347
458	14721	1314
459	14756	1283
460	14784	1250
461	14818	1218
462	14846	1186
463	14879	1154
464	14913	1122
465	14947	1090
466	14980	1058
467	15011	1026
468	15044	994
469	15077	962
470	15109	930
471	15140	898
472	15174	866
473	15208	834
474	15241	802
475	15268	769
476	15300	737
477	15332	705
478	15367	673
479	15401	641
480	15433	609
481	15466	577
482	15499	545
483	15528	513
484	15562	481
485	15589	449
486	15620	416
487	15653	384
488	15687	352
489	15721	320
490	15754	288
491	15785	256
492	15821	224
493	15855	192
494	15887	160
495	15921	128
496	15954	96
497	15986	64
498	16019	32
499	16052	0
